market,exp_ma_window,exp_ma_diff_method,exp_ma_detection_threshold,exp_pre_window_duration_str,exp_post_window_duration_str,retail_filter_type,retail_filter_threshold,events_retail_driven,events_inst_attempt,events_successful_correction,attempt_rate,success_rate,mean_inst_share_succ,mean_inst_share_fail,mwu_p_inst_share,avg_gap_closed_final,avg_gap_closed_to_min,avg_crossed_zero_flag,avg_time_to_reversion_min,corr_inst_share_vs_gap_closed,corr_inst_share_vs_gap_closed_p,corr_inst_share_nan_reason,corr_abs_first_trade_imp_vs_abs_md0,corr_abs_first_trade_imp_vs_abs_md0_p,mean_first_1_imp_succ,mean_first_1_imp_fail,mean_first_1_correct_dir_succ,mean_first_1_correct_dir_fail,mean_first_2_imp_succ,mean_first_2_imp_fail,mean_first_2_correct_dir_succ,mean_first_2_correct_dir_fail,mean_first_3_imp_succ,mean_first_3_imp_fail,mean_first_3_correct_dir_succ,mean_first_3_correct_dir_fail
PRES-2024-KH,5,percentage,0.02,12:00:00,2:00:00,count,0.5,14740,14398,11637,0.976797829036635,0.8082372551743298,0.8706860099115653,0.8894717136887638,0.013085627293287602,0.48995206970404354,1.0,1.0,2.2040561189054033,-0.041538540213636684,6.164284972304955e-07,,0.09661527030968728,3.2916577336140158e-31,0.0003540431382658771,0.0003477001086562832,0.36710492394947153,0.241216950380297,0.00047554836389788,0.0005691353520612917,0.38360402165506574,0.25461789206809127,0.0003519281168101846,0.0004924660051451673,0.38334622325341583,0.24918507787033684
PRES-2024-KH,5,percentage,0.02,12:00:00,2:00:00,flow,0.05,9218,8990,7232,0.9752657843349968,0.8044493882091213,0.8451059155188257,0.8702714454902872,0.0005266412686743805,0.4466958343423526,1.0,1.0,2.1951056729699667,-0.052589507633037894,6.06721545020322e-07,,0.12529741130784472,8.713698980564215e-33,0.00010647123893805415,0.00043230944254834944,0.3779037610619469,0.23833902161547213,0.0002683492892370189,0.0006987399770904928,0.38689159292035397,0.2354948805460751,9.691096305269637e-05,0.0006766917293233083,0.3799778761061947,0.23265073947667805
PRES-2024-KH,5,percentage,0.02,12:00:00,2:00:00,flow,0.1,3866,3770,2977,0.975168132436627,0.7896551724137931,0.7966233675774004,0.8274529771566431,0.03925060305318716,0.27009950836047564,1.0,1.0,2.203183023872679,-0.07536026285042964,3.6180373100937415e-06,,0.10791401663438954,3.0701640194547236e-11,-0.0010043668122270734,0.0006431273644388382,0.376217668794088,0.29760403530895335,-0.0005919886565047836,0.0008056265984654738,0.3913335572724219,0.30138713745271123,-0.0006817325800376635,0.0005591677503250973,0.376217668794088,0.27616645649432536
PRES-2024-KH,5,percentage,0.02,12:00:00,2:00:00,flow,0.2,892,822,699,0.92152466367713,0.8503649635036497,0.6989649090903538,0.668528461402672,0.18909125361757562,0.6730354516700808,1.0,1.0,2.24330900243309,-0.017384058439064196,0.6187028830518588,,0.11458484144945134,0.0009981215060950997,-0.0013590844062947019,-0.00032520325203252244,0.39341917024320455,0.2926829268292683,-0.0008731466227347536,0.0006194690265486781,0.36909871244635195,0.3008130081300813,-7.736943907156358e-05,4.1503664471968466e-18,0.3333333333333333,0.24390243902439024
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",0:30:00,count,0.5,4615,3796,3640,0.8225352112676056,0.958904109589041,0.8391713572606011,0.8570698191065614,0.6544748716414268,0.8685205371079232,0.9999063007232926,1.0,2.1865121180189675,-0.047185836786764614,0.0036390978663686595,,-0.05267062632388658,0.001169111536016938,-0.0009120879120879102,-0.0009615384615384609,0.5200549450549451,0.47435897435897434,-0.0011924398625429535,-0.00046511627906976785,0.4760989010989011,0.4551282051282051,-0.00202974276527331,-0.0012820512820512814,0.43021978021978025,0.391025641025641
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",0:30:00,flow,0.05,2951,2399,2279,0.8129447644866147,0.9499791579824927,0.8219176295341688,0.8463976789798752,0.504114642059693,0.8574284406839884,0.9998517372011748,1.0,2.0454355981659025,-0.06170154716773259,0.002499332953665571,,-0.009404874554489757,0.6452169483929842,-0.0019131197893813058,-0.0012499999999999983,0.5625274243089075,0.5083333333333333,-0.002323177366702937,-0.0007142857142857137,0.5041684949539271,0.48333333333333334,-0.003126954346466541,-0.0013483146067415717,0.46511627906976744,0.425
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",0:30:00,flow,0.1,1010,724,679,0.7168316831683168,0.9378453038674033,0.7678157771762534,0.8405597635601776,0.06274547971413022,0.8607212371057661,0.9995920874780646,1.0,2.164364640883978,-0.07331475644413427,0.048615996359733994,,-0.04953499040480172,0.1830690612863606,-0.003681885125184094,-0.00044444444444444485,0.5301914580265096,0.5111111111111111,-0.004334763948497855,0.00033333333333333365,0.4020618556701031,0.37777777777777777,-0.00556756756756757,-0.0008000000000000007,0.3446244477172312,0.26666666666666666
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",0:30:00,flow,0.2,328,164,158,0.5,0.9634146341463414,0.6862245673321016,0.8854648650512925,0.1128834333061487,0.901082048717404,1.0,1.0,2.317073170731707,-0.040431082313918135,0.6072377189856931,,0.041232159053129894,0.6001300600963362,-0.0025949367088607526,0.001666666666666668,0.5379746835443038,0.16666666666666666,-0.0016666666666666616,0.0050000000000000044,0.25316455696202533,0.16666666666666666,-0.0025,0.0,0.17721518987341772,0.0
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",1:00:00,count,0.5,4615,4179,3975,0.9055254604550379,0.9511844938980617,0.8498976256051306,0.8500371501879004,0.2816318916586813,0.8693537328924104,0.9999767339322237,1.0,2.241206030150754,-0.01927075737367731,0.21294630540087048,,-0.03553671448177829,0.021600759326109133,-0.0007069182389937086,-4.901960784313893e-05,0.5227672955974842,0.45588235294117646,-0.0008350071736011455,-5.291005291005237e-05,0.5144654088050314,0.5098039215686274,-0.0015015974440894546,-0.0009580838323353295,0.48327044025157234,0.45588235294117646
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",1:00:00,flow,0.05,2951,2677,2528,0.9071501186038631,0.9443406798655211,0.8251632746076168,0.8553144497854189,0.05893864607544192,0.8619274355427479,0.9999636799039087,1.0,2.1228987672768023,-0.049130218640499296,0.011011537072622032,,0.0060380984818939505,0.754837964277496,-0.0016653481012658211,0.00013422818791946172,0.564873417721519,0.4563758389261745,-0.0018918918918918908,0.00022058823529411947,0.5399525316455697,0.5033557046979866,-0.0024836601307189534,-0.0006837606837606825,0.5090981012658228,0.4429530201342282
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",1:00:00,flow,0.1,1010,836,764,0.8277227722772277,0.9138755980861244,0.7642536161594723,0.8410315958226797,0.0016019960597395593,0.8487373177947343,0.9998836974913438,1.0,2.2404306220095696,-0.08489090445435121,0.014077966045510705,,-0.03350278598532974,0.3332888797365975,-0.0034554973821989523,0.000694444444444442,0.5471204188481675,0.4444444444444444,-0.0033898305084745757,0.0008064516129032283,0.4882198952879581,0.4861111111111111,-0.004199623352165726,-0.00039215686274509623,0.41361256544502617,0.4444444444444444
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",1:00:00,flow,0.2,328,211,197,0.6432926829268293,0.933649289099526,0.6774465717791871,0.7905848778907514,0.1058069636115685,0.8969496863254116,1.0,1.0,2.374407582938389,0.05623761895772672,0.4163962063468859,,0.041976346441239,0.5442578612669979,-0.0024873096446700427,0.0028571428571428437,0.5634517766497462,0.42857142857142855,-0.0017006802721088374,0.0038461538461538494,0.39086294416243655,0.35714285714285715,-0.0022321428571428553,0.0014285714285714299,0.2893401015228426,0.21428571428571427
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",2:00:00,count,0.5,4615,4401,4194,0.9536294691224269,0.9529652351738241,0.8638469066752635,0.8497907609714795,0.0017217520564230455,0.8740206881715039,1.0,1.0,2.2665303340149965,-0.004674746930522021,0.7565332260817401,,-0.025509571401937985,0.09062682714889081,-0.0005770147830233646,-9.661835748792171e-05,0.5255126371006199,0.46859903381642515,-0.0007406451612903196,0.00020100502512562945,0.5371959942775394,0.48792270531400966,-0.0012430786267995546,-0.0009604519774011302,0.5202670481640439,0.4492753623188406
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",2:00:00,flow,0.05,2951,2826,2678,0.9576414774652661,0.9476291578202406,0.8396661901247703,0.837472544650935,0.23316792933205666,0.8629624254166502,1.0,1.0,2.1556970983722574,-0.0267166084299949,0.155641566948751,,0.014810639264412728,0.4312640547680405,-0.0014488424197162048,-0.00040540540540540354,0.5660941000746826,0.5067567567567568,-0.001747301079568171,2.3291392125003285e-18,0.564973861090366,0.5067567567567568,-0.0021327623126338314,-0.0010317460317460319,0.5466766243465273,0.4864864864864865
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",2:00:00,flow,0.1,1010,917,843,0.907920792079208,0.9193020719738277,0.776702899295737,0.7981495077084286,0.7267129341232084,0.8524614720928714,1.0,1.0,2.2977099236641223,-0.00946195148324595,0.774769002322682,,-0.02460652271198984,0.4567365930303141,-0.0031316725978647684,0.00013513513513513825,0.5444839857651246,0.5405405405405406,-0.0031462140992167082,0.0007042253521126798,0.5148279952550415,0.5675675675675675,-0.0036705202312138723,-0.0007017543859649129,0.4792408066429419,0.5
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",2:00:00,flow,0.2,328,265,240,0.8079268292682927,0.9056603773584906,0.6699313819153315,0.7216322633650001,0.6788367924158845,0.850053363160031,1.0,1.0,2.4716981132075473,-0.0011301732099431444,0.9853908150285972,,0.06088241724615902,0.32348334043412647,-0.0022083333333333256,0.0020000000000000104,0.5625,0.6,-0.0017187499999999905,0.0022727272727272848,0.42083333333333334,0.52,-0.00242038216560509,0.0015384615384615398,0.3333333333333333,0.32
PRES-2024-KH,5,z_score,2.0,12:00:00,0:30:00,count,0.5,4546,3762,3606,0.827540695116586,0.9585326953748007,0.8378776277701677,0.8570698191065614,0.5491517117167362,0.8673322591338855,0.9999054538930405,1.0,2.1796916533758637,-0.05075304988902605,0.0018462079860520858,,-0.04914933148895341,0.0025663891840187972,-0.0009622850804215177,-0.0009615384615384609,0.5207986688851913,0.47435897435897434,-0.0012400690846286683,-0.00046511627906976785,0.47781475318912925,0.4551282051282051,-0.0020628525382755825,-0.0012820512820512814,0.4328896283971159,0.391025641025641
PRES-2024-KH,5,z_score,2.0,12:00:00,0:30:00,flow,0.05,2918,2347,2236,0.8043180260452365,0.9527055815935237,0.8204653716821768,0.8416593005113463,0.3532902562451543,0.8636630216485888,0.9998741675901657,1.0,2.1009799744354494,-0.03696285853084337,0.07339689347418338,,-0.005456705007933618,0.7916136143884267,-0.0015921288014311258,-0.0012612612612612603,0.5491949910554562,0.5225225225225225,-0.0020034052213393863,-0.0007954545454545461,0.48524150268336314,0.4864864864864865,-0.0027127659574468074,-0.001392405063291139,0.4405187835420394,0.3963963963963964
PRES-2024-KH,5,z_score,2.0,12:00:00,0:30:00,flow,0.1,1313,978,932,0.7448591012947449,0.9529652351738241,0.7743184153235628,0.8167211140184648,0.30421669456130773,0.8733385101407117,0.9996980279489966,1.0,2.144171779141104,-0.038906500027105224,0.2241270874078764,,-0.023479690933110118,0.4632887460211622,-0.0036909871244635187,-0.0019565217391304367,0.5407725321888412,0.5217391304347826,-0.004403534609720176,-0.0029032258064516153,0.434549356223176,0.41304347826086957,-0.0054627949183303085,-0.0032142857142857173,0.388412017167382,0.3695652173913043
PRES-2024-KH,5,z_score,2.0,12:00:00,0:30:00,flow,0.2,410,231,224,0.5634146341463414,0.9696969696969697,0.6797535998823384,0.9173820358731799,0.017280480091861648,0.912649050565722,1.0,1.0,2.225108225108225,-0.04539622537893327,0.4923511805385682,,-0.015556662406384855,0.8140749327537757,-0.003392857142857139,0.0,0.5535714285714286,0.2857142857142857,-0.004385964912280698,-0.003333333333333336,0.2857142857142857,0.14285714285714285,-0.0046590909090909105,-0.003333333333333336,0.22767857142857142,0.14285714285714285
PRES-2024-KH,5,z_score,2.0,12:00:00,1:00:00,count,0.5,4546,4135,3932,0.9095908490981083,0.950906892382104,0.8486873853161937,0.8492984169375944,0.2980715149375389,0.8685033467777538,0.9999764863610068,1.0,2.234582829504232,-0.021045157704728482,0.17604675500432262,,-0.03309706032638481,0.03331952798566297,-0.0007680569684638839,-4.926108374384405e-05,0.5226347914547305,0.458128078817734,-0.0008894022523823252,-5.3191489361701585e-05,0.5167853509664293,0.5123152709359606,-0.0015357486373837746,-0.0009580838323353295,0.48677517802644965,0.458128078817734
