market,exp_ma_window,exp_ma_diff_method,exp_ma_detection_threshold,exp_pre_window_duration_str,exp_post_window_duration_str,retail_filter_type,retail_filter_threshold,events_retail_driven,events_inst_attempt,events_successful_correction,attempt_rate,success_rate,mean_inst_share_succ,mean_inst_share_fail,mwu_p_inst_share,avg_gap_closed_final,avg_gap_closed_to_min,avg_crossed_zero_flag,avg_time_to_reversion_min,corr_inst_share_vs_gap_closed,corr_inst_share_vs_gap_closed_p,corr_inst_share_nan_reason,corr_abs_first_trade_imp_vs_abs_md0,corr_abs_first_trade_imp_vs_abs_md0_p,mean_first_1_imp_succ,mean_first_1_imp_fail,mean_first_1_correct_dir_succ,mean_first_1_correct_dir_fail,mean_first_2_imp_succ,mean_first_2_imp_fail,mean_first_2_correct_dir_succ,mean_first_2_correct_dir_fail,mean_first_3_imp_succ,mean_first_3_imp_fail,mean_first_3_correct_dir_succ,mean_first_3_correct_dir_fail
PRES-2024-DJT,5,percentage,0.02,"1 day, 0:00:00",0:30:00,count,0.5,15312,13506,10593,0.8820532915360502,0.7843180808529543,0.7769916345594163,0.7825380045142747,0.061362380777736376,0.5303489724335211,0.9960893220529902,1.0,2.1513401451206873,-0.02751533867769634,0.0013837790305608515,,0.14912567664383372,5.1832806541086305e-68,0.0001585952987822133,-0.000844490216271885,0.3566506183328613,0.23480947476828012,1.741591379122578e-05,-0.0010627493652520857,0.33069007835362974,0.24648129076553382,1.718845917740876e-05,-0.0012538940809968847,0.3032191069574247,0.2382423618262959
PRES-2024-DJT,5,percentage,0.02,"1 day, 0:00:00",0:30:00,flow,0.05,11997,10589,8196,0.8826373259981662,0.7740107658891302,0.7703501650488941,0.7807155962635425,0.00803554249591459,0.5102460795485942,0.9954995282708288,1.0,2.148550382472377,-0.03564818317862338,0.00024346938915281903,,0.16829649776492966,4.052181347141625e-68,4.880429477793075e-06,-0.0009068115336397826,0.3548072230356271,0.2260760551608859,-0.0001313399469051285,-0.0011708169506334644,0.3277208394338702,0.24446301713330548,-3.6112419532109135e-05,-0.001304145319049837,0.3020985846754514,0.23610530714584205
PRES-2024-DJT,5,percentage,0.02,"1 day, 0:00:00",0:30:00,flow,0.1,7214,6158,4732,0.8536179650679235,0.7684313088665151,0.762610199917698,0.7704594727565404,0.4366522591837556,0.48343390482628934,0.9924779768436207,1.0,2.1619032153296525,-0.03600825462450123,0.004713093171347012,,0.18390182996988652,5.617126717437542e-48,-0.00023668639053254551,-0.0011009817671809258,0.35566356720202874,0.23632538569424966,-0.0002950819672131155,-0.0012601927353595257,0.31614539306847,0.2321178120617111,-0.00023048112935753482,-0.0013530824659727782,0.2743026204564666,0.22230014025245443
PRES-2024-DJT,5,percentage,0.02,"1 day, 0:00:00",0:30:00,flow,0.2,1197,794,681,0.6633249791144528,0.8576826196473551,0.6126608585968224,0.5224942644961389,0.0016623764058651242,0.7359735617910111,1.0,1.0,2.2279596977329974,0.10302181331637669,0.0036595089724899914,,0.12530210970858754,0.0004014049425234542,-0.0007048458149779748,-0.0021238938053097364,0.39060205580029367,0.35398230088495575,-0.0003389830508474574,-0.0012195121951219523,0.24082232011747431,0.19469026548672566,-0.0006113537117903921,-0.0025000000000000022,0.13509544787077826,0.1504424778761062
PRES-2024-DJT,5,percentage,0.02,"1 day, 0:00:00",1:00:00,count,0.5,15312,14250,11286,0.9306426332288401,0.792,0.7988717056612854,0.8156737407299283,4.286032808883548e-09,0.5220113688921418,0.9994220360632239,1.0,2.158877192982456,-0.04102202471377844,9.653695692170248e-07,,0.1486956125244217,2.9936205911379155e-71,0.00013468013468013323,-0.0008333333333333338,0.35583909268119795,0.25539811066126855,-2.3188405797102585e-05,-0.0012603021978021974,0.3496367180577707,0.27462887989203777,-3.840564666805154e-05,-0.001364433532094002,0.3333333333333333,0.28711201079622134
PRES-2024-DJT,5,percentage,0.02,"1 day, 0:00:00",1:00:00,flow,0.05,11997,11120,8765,0.9268983912644828,0.7882194244604317,0.7888888766951971,0.8013405933458821,7.16191899045903e-05,0.503007128429554,0.9992593537680702,1.0,2.156654676258993,-0.04012630270987909,2.3100091815437685e-05,,0.1672752734143504,1.3742151131430847e-70,-2.1677124928694725e-05,-0.0009299363057324846,0.3535653166001141,0.2424628450106157,-0.00019044062733383202,-0.0013278546712802766,0.344780376497433,0.25690021231422505,-0.0001656867985034746,-0.001333333333333333,0.32903593839132916,0.2683651804670913
PRES-2024-DJT,5,percentage,0.02,"1 day, 0:00:00",1:00:00,flow,0.1,7214,6522,5117,0.9040754089270863,0.7845752836553205,0.7741965785549632,0.7846167454557551,0.005736078238023708,0.4552127036877894,0.9987371993101717,1.0,2.1686599202698558,-0.042128658635925645,0.0006662032978321782,,0.18251285068989676,5.842166271026063e-50,-0.000338088723861639,-0.0008256227758007124,0.3554817275747508,0.2498220640569395,-0.00048439886537202814,-0.0012891478514202477,0.33535274574946256,0.25409252669039145,-0.00048745519713261744,-0.0012593703148425788,0.30838381864373654,0.24483985765124555
PRES-2024-DJT,5,percentage,0.02,"1 day, 0:00:00",1:00:00,flow,0.2,1197,958,802,0.8003341687552213,0.837160751565762,0.5995781795633666,0.53067657914104,0.0015932706240495533,0.7025078864206465,1.0,1.0,2.2275574112734864,0.07168359520589594,0.026508627026540787,,0.1241144447614059,0.00011743354933667172,-0.0005610972568578566,-0.001666666666666669,0.39027431421446385,0.3333333333333333,-0.0008374384236453211,-0.0019148936170212782,0.2955112219451372,0.3141025641025641,-0.00122969837587007,-0.0023076923076923096,0.23566084788029926,0.33974358974358976
PRES-2024-DJT,5,percentage,0.02,"1 day, 0:00:00",2:00:00,count,0.5,15312,14805,12040,0.9668887147335423,0.8132387706855791,0.8180193900877823,0.847580764515053,2.4080789868894984e-13,0.5469219398480158,1.0,1.0,2.16548463356974,-0.061744491346575024,5.5048961915598396e-14,,0.15175507964479296,5.515565009824887e-77,-3.3222591362141028e-06,-0.0007124773960217007,0.3581395348837209,0.25569620253164554,-0.0002586511299435038,-0.0009694989106753817,0.36320598006644517,0.2719710669077758,-0.0003078202995008328,-0.0010616563298066401,0.3606312292358804,0.26726943942133813
PRES-2024-DJT,5,percentage,0.02,"1 day, 0:00:00",2:00:00,flow,0.05,11997,11586,9388,0.9657414353588397,0.8102882789573623,0.8046673099865818,0.8365568268513626,8.113891590922693e-13,0.5327310052464812,1.0,1.0,2.1644225789746248,-0.06466782947327221,3.2313581765479803e-12,,0.16975096527730085,1.2328542428644618e-75,-0.00017682147422241288,-0.0007506824385805279,0.3566254793353217,0.23976342129208372,-0.00042367105860972355,-0.0011659807956104255,0.35470813804857265,0.2643312101910828,-0.0004152371938956589,-0.001167816091954023,0.35353642948444824,0.25932666060054593
