label,count,mean,std,min,25%,50%,75%,max
Institutional,84761.0,5543.398638524794,25388.729803374034,705.0,1000.0,1697.0,3409.0,2694776.0
Retail,371975.0,116.63428993883997,96.9988362329288,1.0,33.0,89.0,178.0,372.0
