,abs_initial_ma_diff,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,correction_effort_index,inst_correction_effort_index,retail_correction_effort_index
count,4525.0,4525.0,4525.0,4525.0,4525.0,4525.0,4525.0,4525.0
mean,0.3165334796010456,-0.7499283722699076,212816.68817679558,23996.65082872928,236813.33900552487,39350.04348961871,35464.23241834874,3885.81107126997
std,0.4200707572868927,2.90590056626173,2680522.6858056127,217803.2129237271,2865001.583604974,405502.6104212278,367542.4411274659,43138.6606850111
min,0.0150375939849623,-67.72727272727299,-14709560.0,-1269753.0,-15370950.0,-8043716.316393241,-7486111.537499819,-817514.5463528326
25%,0.0692640692640693,-0.8775510204081634,-88097.0,-7044.0,-97508.0,-3988.7601228750323,-3571.2497503755244,-322.7466490949046
50%,0.1585365853658536,0.0,21304.0,4189.0,28043.0,1258.2531404011856,860.1566234052528,168.72331955426228
75%,0.2863070539419086,0.3388704318936878,254325.0,24771.0,277169.0,27952.292717229437,24479.407244995316,2118.611226624227
max,3.6261682242990654,0.7499999999999999,14719714.0,1299116.0,15431408.0,5531434.368683623,5288382.616182254,553535.5579325695
non_zero_count,4525.0,3667.0,4455.0,4525.0,4525.0,4525.0,4455.0,4525.0
positive_count,4525.0,1753.0,2619.0,2660.0,2660.0,2660.0,2619.0,2660.0
negative_count,0.0,1914.0,1836.0,1865.0,1865.0,1865.0,1836.0,1865.0
pct_positive,1.0,0.3874033149171271,0.5787845303867404,0.5878453038674033,0.5878453038674033,0.5878453038674033,0.5787845303867404,0.5878453038674033
pct_negative,0.0,0.4229834254143646,0.40574585635359117,0.4121546961325967,0.4121546961325967,0.4121546961325967,0.40574585635359117,0.4121546961325967
