,inst_flow_in_corrective_dir,abs_initial_ma_diff
count,2872.0,2872.0
mean,504125.12151810585,0.28414970564499886
std,1291690.7937948075,0.35821475641173867
min,0.0,0.0157480314960629
25%,13963.5,0.0652173913043478
50%,63091.0,0.1055045871559633
75%,329845.5,0.2395437262357414
max,9219186.0,0.9748743718592964
non_zero_count,2755.0,2872.0
positive_count,2755.0,2872.0
negative_count,0.0,0.0
pct_positive,0.9592618384401114,1.0
pct_negative,0.0,0.0
