,inst_flow_in_corrective_dir,abs_initial_ma_diff
count,1981.0,1981.0
mean,-485446.8243311459,0.3987150676335247
std,1173045.3318849148,0.5155927708411245
min,-9123319.0,0.0150375939849623
25%,-375217.0,0.1836734693877551
50%,-63838.0,0.2437185929648242
75%,-15996.0,0.4220183486238532
max,10616.0,3.6261682242990654
non_zero_count,1909.0,1981.0
positive_count,14.0,1981.0
negative_count,1895.0,0.0
pct_positive,0.007067137809187279,1.0
pct_negative,0.9565875820292782,0.0
