,inst_flow_in_corrective_dir,abs_initial_ma_diff
count,2660.0,2660.0
mean,1042015.7203007519,0.2744519109283844
std,2599528.610996486,0.35460991541568737
min,0.0,0.0155440414507772
25%,43466.5,0.056819382794335196
50%,161791.0,0.0950226244343892
75%,659652.25,0.2083333333333333
max,14719714.0,0.9748743718592964
non_zero_count,2619.0,2660.0
positive_count,2619.0,2660.0
negative_count,0.0,0.0
pct_positive,0.9845864661654136,1.0
pct_negative,0.0,0.0
