,abs_initial_ma_diff,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,correction_effort_index,inst_correction_effort_index,retail_correction_effort_index
count,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0
mean,0.4608879960086555,0.99348039748592,15463.050789096127,3052.193495934959,18515.244285031087,5521.983375242199,4937.603051217609,584.38032402459
std,0.655102848098249,0.035368007663262084,503199.2774448294,44439.48586188415,538653.5741476367,44723.18688232847,41988.685609118016,4132.277606870942
min,0.0151515151515151,0.75,-7828449.0,-653860.0,-8379027.0,-846012.6085289855,-842554.555180206,-71283.14739814006
25%,0.0852713178294573,1.0,-9537.5,-1460.0,-11962.0,-398.6675975601361,-287.7497893498616,-65.04699782324869
50%,0.223175965665236,1.0,0.0,105.0,565.0,10.515463806950793,0.0,1.2515807430678418
75%,0.6445182724252491,1.0,20292.0,3569.5,24034.5,1848.4966455402387,1291.475768993644,359.15466356151717
max,3.805825242718447,1.0,9070713.0,657428.0,9360484.0,796077.7185971407,787509.8364279451,142819.66286951126
non_zero_count,10455.0,10455.0,8875.0,9813.0,10051.0,10051.0,8875.0,9813.0
positive_count,10455.0,10455.0,4922.0,5417.0,5517.0,5517.0,4922.0,5417.0
negative_count,0.0,0.0,3953.0,4396.0,4534.0,4534.0,3953.0,4396.0
pct_positive,1.0,1.0,0.470779531324725,0.5181252989000478,0.5276901004304161,0.5276901004304161,0.470779531324725,0.5181252989000478
pct_negative,0.0,0.0,0.37809660449545673,0.42046867527498805,0.4336681013868962,0.4336681013868962,0.37809660449545673,0.42046867527498805
