,gap_closed_pct,inst_flow_in_corrective_dir,abs_initial_ma_diff
count,5226.0,5226.0,5226.0
mean,0.9924432215317925,-136243.51205510908,0.5737860486961959
std,0.03720905966278994,322689.97736948985,1.1004267804524632
min,0.75,-6612484.0,0.0150375939849623
25%,1.0,-124569.0,0.0545454545454545
50%,1.0,-25870.0,0.0843373493975904
75%,1.0,-6508.0,0.223175965665236
max,1.0,-707.0,3.805825242718447
non_zero_count,5226.0,5226.0,5226.0
positive_count,5226.0,0.0,5226.0
negative_count,0.0,5226.0,0.0
pct_positive,1.0,0.0,1.0
pct_negative,0.0,1.0,0.0
