,abs_initial_ma_diff,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,correction_effort_index
count,2825.0,2825.0,2825.0,2825.0,2825.0,2825.0
mean,0.22146152015669318,-0.7440896702558916,-617977.3295575221,-70081.98194690266,-688059.3115044248,-81103.83689044096
std,0.5596637511363654,2.103429887286197,1184718.6310376462,140702.05896258316,1303728.3685657938,131244.2292641166
min,0.0150375939849623,-64.63636363636357,-8241140.0,-727942.0,-8922044.0,-2068863.9807475319
25%,0.0545454545454545,-1.1781376518218587,-609038.0,-47469.0,-641638.0,-99626.06221325781
50%,0.073943661971831,0.0,-197636.0,-20337.0,-228510.0,-26461.18037870111
75%,0.1153846153846153,0.0703832752613238,-40333.0,-8770.0,-53367.0,-5693.580159105436
max,3.6261682242990654,0.7499999999999956,0.0,13352.0,13352.0,1520.1890346799717
non_zero_count,2825.0,2132.0,2770.0,2825.0,2825.0,2825.0
positive_count,2825.0,755.0,0.0,20.0,20.0,20.0
negative_count,0.0,1377.0,2770.0,2805.0,2805.0,2805.0
pct_positive,1.0,0.2672566371681416,0.0,0.007079646017699115,0.007079646017699115,0.007079646017699115
pct_negative,0.0,0.48743362831858406,0.9805309734513274,0.9929203539823008,0.9929203539823008,0.9929203539823008
