,gap_closed_pct,inst_flow_in_corrective_dir,abs_initial_ma_diff
count,4229.0,4229.0,4229.0
mean,0.9900505863032133,143550.3289193663,0.5740067943253554
std,0.0461895227999779,425111.92203753017,0.3585272780311617
min,0.75,707.0,0.015151515151515
25%,1.0,5842.0,0.1954022988505747
50%,1.0,20000.0,0.8636363636363636
75%,1.0,104739.0,0.9065420560747663
max,1.0,6613348.0,0.9874055415617128
non_zero_count,4229.0,4229.0,4229.0
positive_count,4229.0,4229.0,4229.0
negative_count,0.0,0.0,0.0
pct_positive,1.0,1.0,1.0
pct_negative,0.0,0.0,0.0
