,abs_initial_ma_diff,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,correction_effort_index
count,2619.0,2619.0,2619.0,2619.0,2619.0,2619.0
mean,0.2721118231364778,-0.6832464091457384,1058328.2993508973,87404.86101565482,1145733.1603665522,121998.45885857554
std,0.3528426723493668,2.6698917703096074,2616506.646355384,220384.27499944522,2798178.123787657,397069.59110415727
min,0.0155440414507772,-36.08823529411777,801.0,94.0,1029.0,10.555206077294537
25%,0.0566212217290213,-0.8270782911931239,46904.5,6730.5,56215.5,3769.193445215082
50%,0.0950226244343892,0.0,168900.0,16234.0,188774.0,20008.69072259127
75%,0.2083333333333333,0.2890365448504984,668298.0,45367.5,741829.0,99327.96211060292
max,0.9748743718592964,0.7499999999999999,14719714.0,1299116.0,15431408.0,5531434.368683623
non_zero_count,2619.0,2136.0,2619.0,2619.0,2619.0,2619.0
positive_count,2619.0,988.0,2619.0,2619.0,2619.0,2619.0
negative_count,0.0,1148.0,0.0,0.0,0.0,0.0
pct_positive,1.0,0.37724322260404736,1.0,1.0,1.0,1.0
pct_negative,0.0,0.4383352424589538,0.0,0.0,0.0,0.0
