,abs_initial_ma_diff_zscore,abs_initial_ma_diff_pct,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,total_correction_effort_index,inst_correction_effort_index,retail_correction_effort_index
count,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0
mean,3.0251455980530073,0.26726592013328443,0.9776389393095245,244399.17231134878,30173.76945929887,274572.94177064765,18294.065610868784,16463.638640021374,1830.4269708474117
std,1.1204709689692456,0.233896183825276,0.06745888960356522,422111.02124122693,61664.68308025235,465118.964365564,43505.32047676156,41214.13116164402,3447.4765924824906
min,2.0002311847164327,0.007936507936507908,0.75,707.0,0.0,863.0,8.852422589606594,7.324020543428862,0.0
25%,2.3112202126951975,0.15057915057915053,1.0,13132.5,3758.5,21113.0,1114.1356918849667,603.3844109176625,295.0651386515362
50%,2.7079989490766625,0.21818181818181817,1.0,58387.0,10992.0,72108.0,4378.582974061682,3523.2884209625954,579.7935057084419
75%,3.359555262300407,0.30451127819548873,1.0,280235.5,32247.0,311499.0,17748.619195082305,16227.936653974322,1450.4392547914695
max,7.6168672475415935,0.9874055415617129,1.0,5665044.0,567511.0,5674392.0,844883.4734989973,819379.9846937126,36693.4023885639
non_zero_count,1683.0,1683.0,1683.0,1683.0,1682.0,1683.0,1683.0,1683.0,1682.0
positive_count,1683.0,1683.0,1683.0,1683.0,1682.0,1683.0,1683.0,1683.0,1682.0
negative_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_positive,1.0,1.0,1.0,1.0,0.9994058229352347,1.0,1.0,1.0,0.9994058229352347
pct_negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
