,abs_initial_ma_diff_zscore,abs_initial_ma_diff_pct,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,total_correction_effort_index,inst_correction_effort_index,retail_correction_effort_index
count,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0
mean,4.03150202868213,2.03451677855054,0.9826689441588389,-166377.0496,-17971.7216,-184348.7712,-7365.917666794048,-6625.368325448578,-740.5493413454714
std,1.777385960595125,1.5853647623498837,0.0618115939785183,544252.6561203611,51680.40804976143,573671.741927113,31156.42661048846,28893.983874800033,3406.9785919036617
min,2.0013008528604406,0.00694444444444442,0.75,-6623751.0,-476182.0,-6632785.0,-449148.63814082654,-417601.06041458057,-62223.750397799646
25%,2.6837532259878123,0.1836734693877551,1.0,-79826.5,-8856.0,-93235.25,-2643.2544852568026,-2245.2655783664077,-412.2100604107165
50%,3.3885517942006755,3.4545454545454546,1.0,-21830.0,-3960.5,-26968.5,-245.96276191628556,-187.3169731419772,-31.072849206813977
75%,4.830223333760241,3.4545454545454546,1.0,-5051.0,-1568.0,-7581.75,-55.768968738701766,-46.067165834051984,-8.359903300831625
max,7.6168672475584085,3.8058252427184467,1.0,-707.0,-0.0,-743.0,-2.048994839710246,-1.9690206131266699,-0.0
non_zero_count,1250.0,1250.0,1250.0,1250.0,1241.0,1250.0,1250.0,1250.0,1241.0
positive_count,1250.0,1250.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0
negative_count,0.0,0.0,0.0,1250.0,1241.0,1250.0,1250.0,1250.0,1241.0
pct_positive,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_negative,0.0,0.0,0.0,1.0,0.9928,1.0,1.0,1.0,0.9928
