,abs_initial_ma_diff_zscore,abs_initial_ma_diff_pct,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,total_correction_effort_index,inst_correction_effort_index,retail_correction_effort_index
count,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
mean,3.24913544246579,1.0874051940759832,-0.058043345235111,-456222.736,-46785.452,-503008.188,-24850.448787588142,-22636.024993839575,-2214.423793748566
std,1.436562427672224,1.453233765977229,1.8968421894902376,1213050.2955023271,120421.19566163594,1318250.5722891088,71277.62235967234,66922.6880218314,5510.8727484194715
min,2.0021121401406288,0.006389776357827453,-13.955284552845589,-7893075.0,-702275.0,-8587700.0,-849372.8964013493,-820493.5548841278,-40215.74206236381
25%,2.3274667961841984,0.08433734939759042,0.0,-246289.0,-20612.5,-252210.5,-22394.523560177375,-20914.698604740297,-1260.1078929249807
50%,2.6877249394790073,0.18644067796610161,0.369295119295119,-48342.0,-7153.5,-57332.5,-3851.8251648715086,-3133.6698770168814,-518.6520877123894
75%,3.5914399786806315,3.182141302770927,0.624382412059787,-15243.5,-3547.25,-22270.25,-276.3043058283659,-153.5347142946786,-47.55835512548897
max,7.616867247560649,3.6261682242990654,0.7499999999999956,0.0,13352.0,13352.0,2847.090932286641,0.0,2847.090932286641
non_zero_count,250.0,250.0,219.0,227.0,250.0,250.0,250.0,227.0,250.0
positive_count,250.0,250.0,170.0,0.0,13.0,13.0,13.0,0.0,13.0
negative_count,0.0,0.0,49.0,227.0,237.0,237.0,237.0,227.0,237.0
pct_positive,1.0,1.0,0.68,0.0,0.052,0.052,0.052,0.0,0.052
pct_negative,0.0,0.0,0.196,0.908,0.948,0.948,0.948,0.908,0.948
