,abs_initial_ma_diff_zscore,abs_initial_ma_diff_pct,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,total_correction_effort_index,inst_correction_effort_index,retail_correction_effort_index
count,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0
mean,2.9610354824720204,0.6605752515946142,0.0669026317082066,201057.42642642642,8479.840840840841,209537.26726726728,7312.537364536988,6921.307275102187,391.2300894348034
std,1.2519211872263105,0.4045666249785623,2.046957899440577,383638.6825421533,14480.21906562354,392595.56117520423,18276.83313303822,17421.23500739865,1383.1740746592718
min,2.00311138667081,0.007936507936507908,-34.96428571428585,714.0,0.0,833.0,8.759381351190012,7.5118749209688165,0.0
25%,2.2046631244955868,0.17355371900826444,0.0,7899.0,1174.0,11497.0,252.4888743006428,194.34281040474158,17.61252559253131
50%,2.4615841750767293,0.9509803921568627,0.3222591362126247,36585.0,2927.0,39246.0,839.5706081877136,736.0845800783077,83.88694071305947
75%,3.2098651483167426,0.9748743718592965,0.7150423728813555,188083.0,7709.0,197477.0,5081.362370557159,4797.257269966514,272.99553614253955
max,7.616867247544305,0.9748743718592965,0.7499999999999999,2584343.0,101221.0,2591511.0,141610.46181674616,140177.34281037532,18141.9144407184
non_zero_count,333.0,333.0,295.0,333.0,327.0,333.0,333.0,333.0,327.0
positive_count,333.0,333.0,218.0,333.0,327.0,333.0,333.0,333.0,327.0
negative_count,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_positive,1.0,1.0,0.6546546546546547,1.0,0.9819819819819819,1.0,1.0,1.0,0.9819819819819819
pct_negative,0.0,0.0,0.23123123123123124,0.0,0.0,0.0,0.0,0.0,0.0
