,abs_initial_ma_diff_zscore,abs_initial_ma_diff_pct,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,total_correction_effort_index,inst_correction_effort_index,retail_correction_effort_index
count,3683.0,3683.0,3683.0,3683.0,3683.0,3683.0,3683.0,3683.0,3683.0
mean,3.644202651984986,0.7665428183315323,0.9879615169887623,-45754.32147705675,-4765.011946782514,-50519.33342383926,-1823.916617615742,-1655.1954778323438,-168.72113978339829
std,1.594832143991552,0.9329202250831606,0.04976378462566695,363952.3124464461,31728.84984621537,388803.9396924567,16971.105386171603,16347.735711150252,1122.0830995108638
min,2.000034071332613,0.0040567951318459,0.75,-7828449.0,-653860.0,-8379027.0,-237536.68046918785,-237058.72087067392,-23492.744392908695
25%,2.492076947665301,0.1585365853658536,1.0,-16634.5,-2791.0,-19398.0,-708.950982820712,-502.7433370851146,-141.5271946938874
50%,3.0814928305744194,0.4220183486238532,1.0,0.0,-196.0,-733.0,-11.15340198366687,0.0,-1.0781249922509766
75%,4.259753462997495,0.9667774086378738,1.0,1760.0,424.0,2581.0,77.9972355479875,30.90744276176958,7.669278270858206
max,7.616867258227038,3.8058252427184467,1.0,2337616.0,109301.0,2345537.0,347233.7612936813,344422.6419308683,15065.208654248663
non_zero_count,3683.0,3683.0,3683.0,2807.0,3287.0,3433.0,3433.0,2807.0,3287.0
positive_count,3683.0,3683.0,3683.0,1080.0,1294.0,1377.0,1377.0,1080.0,1294.0
negative_count,0.0,0.0,0.0,1727.0,1993.0,2056.0,2056.0,1727.0,1993.0
pct_positive,1.0,1.0,1.0,0.2932392071680695,0.3513440130328537,0.3738799891392886,0.3738799891392886,0.2932392071680695,0.3513440130328537
pct_negative,0.0,0.0,0.0,0.46891121368449634,0.5411349443388542,0.5582405647569916,0.5582405647569916,0.46891121368449634,0.5411349443388542
