market,window_length_cfg,is_successful_correction,initial_ma_diff_mean,initial_ma_diff_median,initial_ma_diff_std,gap_closed_pct_mean,gap_closed_pct_median,gap_closed_pct_std,cumulative_retail_flow_in_window_mean,cumulative_retail_flow_in_window_median,cumulative_retail_flow_in_window_std,cumulative_inst_flow_in_window_mean,cumulative_inst_flow_in_window_median,cumulative_inst_flow_in_window_std,retail_flow_in_corrective_dir_mean,retail_flow_in_corrective_dir_median,retail_flow_in_corrective_dir_std,inst_flow_in_corrective_dir_mean,inst_flow_in_corrective_dir_median,inst_flow_in_corrective_dir_std,n_events
PRES-2024-DJT,30,False,-0.023494549906715147,0.0477941176470588,0.6180708501666176,-0.4919806674328315,0.0,1.7584453824237585,37857.194444444445,9778.5,72571.94748814765,331852.13244444446,64184.0,658206.8762239944,-6227.895333333333,-4149.0,81617.26523443972,-55911.60755555556,-10564.0,735023.6763941048,4500
PRES-2024-DJT,30,True,0.07152163957349826,0.0338345864661653,1.0605325589281591,0.9926807652578535,1.0,0.03835505807295489,13805.968124667965,3733.5,32945.37126194517,116795.01815123075,14597.0,344241.80443233607,-2163.6458296440587,-340.5,35655.81781093901,-9291.150433858686,0.0,363398.3640392398,11294
PRES-2024-DJT,60,False,-0.0385124170867391,0.0477941176470588,0.6030382490921118,-0.596513837451686,0.0,2.790492106789667,75484.37639553429,18231.0,146504.2075812162,672875.4185463659,185683.0,1264472.3208512326,-14756.085213032582,-8087.0,164148.9590661485,-122652.4720893142,-34228.0,1427132.6860258195,4389
PRES-2024-DJT,60,True,0.07637623159636732,0.0338345864661653,1.059925661613217,0.9925894161124209,1.0,0.03825535306952738,27920.79552827707,7492.0,63546.54839755398,235464.6726874178,38689.0,536254.1476167178,-3887.155195089873,-653.0,69301.45521640951,-27034.694782989918,0.0,585052.173637058,11405
PRES-2024-KH,30,False,-0.010813179592533466,-0.0466101694915254,0.5449693703616726,-0.6604093515555264,0.0,2.5867024223993025,37046.239645580055,5950.0,101542.10888112792,496523.2371728828,63162.0,1244527.4540382538,12230.158046569133,2058.0,107395.99159910371,100180.75211209561,7325.0,1336187.287929155,4853
PRES-2024-KH,30,True,0.07439791990495434,-0.0376569037656903,0.7975350937589523,0.9934803974859202,1.0,0.03536800766326242,11280.50549976088,2380.0,43092.025982201936,135705.8924916308,14130.0,484799.74293007527,3052.193495934959,105.0,44439.4858618842,15463.050789096127,-0.0,503199.2774448292,10455
PRES-2024-KH,60,False,-0.006137054352325589,-0.0466101694915254,0.5259632688377056,-0.7499283722699076,0.0,2.9059005662617285,77212.37458563536,12721.0,205063.7400954881,1012271.4072928177,156660.0,2491100.744547859,23996.65082872928,4189.0,217803.21292372726,212816.68817679558,21304.0,2680522.6858056113,4525
PRES-2024-KH,60,True,0.06984364861244609,-0.04,0.7967516267773805,0.9934301702252154,1.0,0.03504875129989809,22246.301956783827,4930.0,84605.35915557428,276544.4491328944,36178.0,915160.0555647793,6730.848001483817,354.0,87222.14244281643,40147.22387090791,1021.0,955191.0298903639,10783
