market,horizon,label,geom_mean,count,mean,std,min,25%,50%,75%,max
PRES-2024-DJT,20,Retail,0.1337611242846146,3282.0,0.4484313045493888,0.46538366406789544,0.01020408163265306,0.023255813953488372,0.08333333333333333,0.9855072463768116,1.0303030303030303
PRES-2024-DJT,20,Institutional,0.15685131689206827,611.0,0.47224092639164544,0.4520814009345227,0.010309278350515464,0.026144907723855092,0.21739130434782608,0.9763239002521715,1.0303030303030303
PRES-2024-DJT,50,Retail,0.15729119686219242,5533.0,0.4810076652900532,0.47006970601996756,0.01020408163265306,0.027777777777777776,0.1111111111111111,0.9879518072289156,1.0689655172413792
PRES-2024-DJT,50,Institutional,0.1764301216914246,998.0,0.4939865598264364,0.45805577911254125,0.01020408163265306,0.03225806451612903,0.25,0.985239244951712,1.0689655172413792
PRES-2024-DJT,100,Retail,0.17324966967638053,8129.0,0.5008214909872742,0.4725189635131686,0.01020408163265306,0.03225806451612903,0.18181818181818182,0.9895833333333334,1.0909090909090908
PRES-2024-DJT,100,Institutional,0.18441309040952739,1465.0,0.5117213583565544,0.46545710553612335,0.01020408163265306,0.039473684210526314,0.3333333333333333,0.9885057471264368,1.0909090909090908
PRES-2024-KH,20,Retail,0.14603753427986685,3310.0,0.4732984463019056,0.471975418891433,0.01020408163265306,0.021739130434782608,0.1,0.9885057471264368,1.0625
PRES-2024-KH,20,Institutional,0.13885045275279778,1005.0,0.4870857832913237,0.4746309617925982,0.01020408163265306,0.014285714285714285,0.125,0.9896907216494846,1.0625
PRES-2024-KH,50,Retail,0.16477455521419257,5457.0,0.49799764225262244,0.4749748223425144,0.01020408163265306,0.02857142857142857,0.15384615384615385,1.0113636363636365,1.0909090909090908
PRES-2024-KH,50,Institutional,0.1450237790536604,1565.0,0.5008161314684089,0.4814627789552209,0.01020408163265306,0.014925373134328358,0.2,1.0114942528735633,1.0909090909090908
PRES-2024-KH,100,Retail,0.17866298238874864,7595.0,0.5097319278090978,0.4751416722757968,0.010309278350515464,0.03125,0.2,1.011764705882353,1.1333333333333333
PRES-2024-KH,100,Institutional,0.18386029121492314,2091.0,0.5456095954477128,0.47843117857596956,0.010309278350515464,0.02531645569620253,0.8888888888888888,1.0114942528735633,1.1333333333333333
